,Title 1,Meta Description 1,H1-1
1500,"Fox Sports - ""Airport Security""",Television Airport Security for Fox Sports - It's good to have a ring,"Fox Sports - ""Airport Security"""
1501,"Fox Sports - ""Hotel Lobby""",Television Hotel Lobby for Fox Sports - It's good to have a ring,"Fox Sports - ""Hotel Lobby"""
1502,Title 1,Meta Description 1,H1-1
1503,"Fox Sports - ""Pool Party""",Television Pool Party for Fox Sports - It's good to have a ring,"Fox Sports - ""Pool Party"""
1504,"McDonald's - ""The Showdown""",Television The Showdown for McDonald's by Leo Burnett Chicago - What you want is what you get,"McDonald's - ""The Showdown"""
1505,"Ford - ""New York""",Television New York for Ford by J. Walter Thompson New York - Drive one.,"Ford - ""New York"""
1506,"The Daily - ""Get Ready""",Television Get Ready for The Daily,"The Daily - ""Get Ready"""
1507,"NFL Network - ""Anytime. Anywhere.""",Television Anytime. Anywhere. for NFL Network - Get the NFL. Anytime. Anywhere.,"NFL Network - ""Anytime. Anywhere."""
1508,"Decathlon - ""a Ball""",Billboard a Ball for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that on...,"Decathlon - ""a Ball"""
1509,"Decathlon - ""a Ball""",Print a Ball for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that once e...,"Decathlon - ""a Ball"""
1510,"Decathlon - ""Helmet""",Print Helmet for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that once e...,"Decathlon - ""Helmet"""
1511,"Decathlon - ""Helmet""",Billboard Helmet for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that on...,"Decathlon - ""Helmet"""
1512,"Decathlon - ""Shoes Forclaz 50""",Billboard Shoes Forclaz 50 for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign...,"Decathlon - ""Shoes Forclaz 50"""
1513,"Decathlon - ""Shoes Forclaz 50""",Print Shoes Forclaz 50 for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is t...,"Decathlon - ""Shoes Forclaz 50"""
1514,"Decathlon - ""Polar Forclaz 20 Junior""",Print Polar Forclaz 20 Junior for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the si...,"Decathlon - ""Polar Forclaz 20 Junior"""
1515,"Decathlon - ""Polar Forclaz 20 Junior""",Billboard Polar Forclaz 20 Junior for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of th...,"Decathlon - ""Polar Forclaz 20 Junior"""
1516,"Decathlon - ""Polar""",Radio Polar for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that once em...,"Decathlon - ""Polar"""
1517,"Decathlon - ""Shoes""",Radio Shoes for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that once em...,"Decathlon - ""Shoes"""
1518,"Decathlon - ""Cardiovascular""",Radio Cardiovascular for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is tha...,"Decathlon - ""Cardiovascular"""
1519,"Decathlon - ""Rollerblade""",Radio Rollerblade for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that o...,"Decathlon - ""Rollerblade"""
1520,"Decathlon - ""Underwear""",Radio Underwear for Decathlon by BETC Paris - Make the pleasure and benefits of sport even more accessible to everyone. The mission of the sign is that onc...,"Decathlon - ""Underwear"""
1521,"Nike FREE - ""Throwdown""",Television Throwdown for Nike FREE by Wieden + Kennedy - Free Yourself,"Nike FREE - ""Throwdown"""
1522,"Nike FREE - ""Women's Throwdown""",Television Women's Throwdown for Nike FREE by Wieden + Kennedy - Free Yourself,"Nike FREE - ""Women's Throwdown"""
1523,"Jordan - ""Gadgets""",Television Gadgets for Jordan by Wieden + Kennedy - Dominate Another Day,"Jordan - ""Gadgets"""
1524,"Nike - ""Everything is Practice""",Web Film Everything is Practice for Nike by ALLDAYEVERYDAY,"Nike - ""Everything is Practice"""
1525,"Maryland Lottery - ""Seats for Life""",Television Seats for Life for Maryland Lottery by GKV Communications,"Maryland Lottery - ""Seats for Life"""
1526,"Maryland Lottery - ""Sidelines""",Television Sidelines for Maryland Lottery by GKV Communications,"Maryland Lottery - ""Sidelines"""
1527,"Sainsbury's Active Kids - ""Invisible Equipment""",Television Invisible Equipment for Sainsbury's Active Kids by AMV BBDO - Happy children have fun whilst doing a range of activities in a  school gym hall....,"Sainsbury's Active Kids - ""Invisible Equipment"""
1528,"adidas - ""Rose""",Television Rose for adidas by 180LA - all fast. all light.,"adidas - ""Rose"""
1529,"adidas - ""Dwight""",Television Dwight for adidas by 180LA - all fast. all light.,"adidas - ""Dwight"""
1530,"Birell - ""Zaghrouta""",Television & Cinema Zaghrouta for Birell by AMA Leo Burnett,"Birell - ""Zaghrouta"""
1531,"Nike Basketball - ""The Black Mamba""",Web Film The Black Mamba for Nike Basketball by Wieden + Kennedy - Nike and Wieden + Kennedy are launching the new Kobe VI shoe with director Robert Rodrig...,"Nike Basketball - ""The Black Mamba"""
1532,"Regal Auto - ""Ricky""",Television Ricky for Regal Auto by Pavlov,"Regal Auto - ""Ricky"""
1533,"Regal Auto - ""Navarro""",Television Navarro for Regal Auto by Pavlov,"Regal Auto - ""Navarro"""
1534,"Regal Auto - ""Grimau""",Television Grimau for Regal Auto by Pavlov,"Regal Auto - ""Grimau"""
1535,"Mars - ""Take Part""",Television Take Part for Mars by AMV BBDO - Work Rest Play,"Mars - ""Take Part"""
1536,"Orange Sport - ""Sports Are Moving In""",Print Sports Are Moving In for Orange Sport by Publicis Conseil - Sports are moving in,"Orange Sport - ""Sports Are Moving In"""
1537,"Gillette - ""World's Biggest Shave""",Outdoor/Out of Home World's Biggest Shave for Gillette by BBDO New York - Everyday Masterpiece,"Gillette - ""World's Biggest Shave"""
1538,"Fairtrade Foundation - ""Show Off Your Label""",Television & Cinema Show Off Your Label for Fairtrade Foundation by Wieden+Kennedy - Wieden + Kennedy London's campaign to support the initiative includes...,"Fairtrade Foundation - ""Show Off Your Label"""
1539,"Toyota - ""Bromance""",Television Bromance for Toyota by Saatchi & Saatchi Los Angeles,"Toyota - ""Bromance"""
1540,"Toyota - ""Housewife""",Television Housewife for Toyota by Saatchi & Saatchi Los Angeles,"Toyota - ""Housewife"""
1541,"Toyota - ""Schoolyard""",Television Schoolyard for Toyota by Saatchi & Saatchi Los Angeles,"Toyota - ""Schoolyard"""
1542,"Toyota - ""Karate""",Television Karate for Toyota by Saatchi & Saatchi Los Angeles,"Toyota - ""Karate"""
1543,"Toyota - ""Sign Smash""",Television Sign Smash for Toyota by Saatchi & Saatchi Los Angeles,"Toyota - ""Sign Smash"""
1544,"Toyota - ""Tater Tots""",Television Tater Tots for Toyota by Saatchi & Saatchi Los Angeles,"Toyota - ""Tater Tots"""
1545,"Sprint - ""Princess Party""",Television Princess Party for Sprint by Goodby Silverstein & Partners - Fuel Your Fan,"Sprint - ""Princess Party"""
1546,"PMU - ""Car-jacking""","Television Car-jacking for PMU by Publicis Conseil - Sitting his old car in front of the trafic lights, a man is suddenly car-jacked by a bunch of jockey r...","PMU - ""Car-jacking"""
1547,"Puma - ""Blam! Blam!""",Television Blam! Blam! for Puma by Droga5 - inspired by the Fastest Country,"Puma - ""Blam! Blam!"""
1548,"Gatorade - ""Hard Work""",Television Hard Work for Gatorade by DLV BBDO,"Gatorade - ""Hard Work"""
1549,"Fanta - ""Bounce""",Television Bounce for Fanta by Ogilvy - More Fanta. Less Serious.,"Fanta - ""Bounce"""
1550,"Dairy Milk - ""Share the Joy""",Television Share the Joy for Dairy Milk by DDB New Zealand - share the joy,"Dairy Milk - ""Share the Joy"""
1551,"ESPN - ""Opening Day""",Television Opening Day for ESPN by Wieden + Kennedy,"ESPN - ""Opening Day"""
1552,"Club Med Gym - ""Brother""","Print Brother for Club Med Gym by extreme - Affichage, web","Club Med Gym - ""Brother"""
1553,"Société Générale - ""Team Spirit""",Television Team Spirit for Société Générale by Fred & Farid  - Developpons Ensemble,"Société Générale - ""Team Spirit"""
1554,"Special Olympics - ""Encourage Omar""",Web Film Encourage Omar for Special Olympics by J. Walter Thompson London - Encouragement transforms the lives of people with learning disabilities,"Special Olympics - ""Encourage Omar"""
1555,"Puma - ""HardChorus""",Case Study HardChorus for Puma by Droga5,"Puma - ""HardChorus"""
1556,"Lady Speed Stick Waterproof - ""Surfing Waterproof""",Television Surfing Waterproof for Lady Speed Stick Waterproof by Y&R Lima,"Lady Speed Stick Waterproof - ""Surfing Waterproof"""
1557,"Mediaset - ""Stadium 1""",Print Stadium 1 for Mediaset by Havas Milan - Just like being there,"Mediaset - ""Stadium 1"""
1558,"Mediaset - ""Stadium 2""",Print Stadium 2 for Mediaset by Havas Milan - Just like being there,"Mediaset - ""Stadium 2"""
1559,"Mediaset - ""Stadium 3""",Print Stadium 3 for Mediaset by Havas Milan - Just like being there,"Mediaset - ""Stadium 3"""
1560,"at&t - ""Download the Kiss (30 sec)""",Television Download the Kiss (30 sec) for at&t by Sanders\Wingo - Rethink Possible,"at&t - ""Download the Kiss (30 sec)"""
1561,"at&t - ""Download the Kiss (15 sec)""",Television Download the Kiss (15 sec) for at&t by Sanders\Wingo - Rethink Possible,"at&t - ""Download the Kiss (15 sec)"""
1562,"adidas - ""All In""",Television All In for adidas by SID LEE MONTREAL - adidas is all in,"adidas - ""All In"""
1563,"Red Bull - ""Red Bull Crashed Ice""",Case Study Red Bull Crashed Ice for Red Bull by SID LEE MONTREAL,"Red Bull - ""Red Bull Crashed Ice"""
1564,"EAS - ""The Unstoppable Tour""",Television The Unstoppable Tour for EAS by McKinney,"EAS - ""The Unstoppable Tour"""
1565,"Nike Cricket - ""Yards""",Television Yards for Nike Cricket by J. Walter Thompson Bangalore - Just Do It.,"Nike Cricket - ""Yards"""
1566,"ESPN - ""Fear The Beard""",Television Fear The Beard for ESPN by Wieden + Kennedy - This is SportsCenter,"ESPN - ""Fear The Beard"""
1567,"Muscle Milk - ""Clay""",Television Clay for Muscle Milk by Pereira O'Dell - Drink. Evolve.,"Muscle Milk - ""Clay"""
1568,"Muscle Milk - ""Ryan""",Television Ryan for Muscle Milk by Pereira O'Dell - Drink. Evolve.,"Muscle Milk - ""Ryan"""
1569,"Ministry of Youth & Sports - ""United We Stand!""",Television & Cinema United We Stand! for Ministry of Youth & Sports by Clementine,"Ministry of Youth & Sports - ""United We Stand!"""
1570,"Gatorade - ""REPLAY Seasons 2 & 3""",Case Study REPLAY Seasons 2 & 3 for Gatorade by TBWA\Chiat\Day Los Angeles,"Gatorade - ""REPLAY Seasons 2 & 3"""
1571,"ESPN - ""2010 FIFA World Cup""",Outdoor/Out of Home 2010 FIFA World Cup for ESPN by Wieden + Kennedy,"ESPN - ""2010 FIFA World Cup"""
1572,"Nike - ""The Film Room""",Case Study The Film Room for Nike by R/GA,"Nike - ""The Film Room"""
1573,"Golf Digest Magazine - ""An Idea with Balls""",Case Study An Idea with Balls for Golf Digest Magazine by Memac Ogilvy & Mather,"Golf Digest Magazine - ""An Idea with Balls"""
1574,"Stc sports - ""It's Our Game!""","Packaging, Branding & Design It's Our Game! for Stc sports by J. Walter Thompson Riyadh","Stc sports - ""It's Our Game!"""
1575,"SATS - ""Sit-ups""","Newspaper Sit-ups for SATS by PS Agency - 
Newspaper ad for SATS, the leading gym chain in Scandinavia. 
The ad was selected as a finalist in Creative...","SATS - ""Sit-ups"""
1576,"Bic Flex 3 - ""Human Curling""",Web Film Human Curling for Bic Flex 3 by Buzzman - Surprisingly smooth glide,"Bic Flex 3 - ""Human Curling"""
1577,"Nike+ - ""Globe Runner""",Digital Globe Runner for Nike+ by Miami Ad School Europe,"Nike+ - ""Globe Runner"""
1578,"Nike Japan - ""Nike Ekiden""",Print Nike Ekiden for Nike Japan by Wieden + Kennedy,"Nike Japan - ""Nike Ekiden"""
1579,"NYC Health - ""Anti soda social media""",Web Site Anti soda social media for NYC Health by Bandujo - Are you pouring on the pounds?,"NYC Health - ""Anti soda social media"""
1580,"NYC Health - ""Your Kid Just Ate...""",Poster Your Kid Just Ate... for NYC Health by Bandujo - Your kid just ate 26 packs of sugar,"NYC Health - ""Your Kid Just Ate..."""
1581,"NYC Health - ""A Lemonade at Lunch?""",Transportation & Vehicles A Lemonade at Lunch? for NYC Health by Bandujo - Studies show that the single food item most closely linked to obesity and other...,"NYC Health - ""A Lemonade at Lunch?"""
1582,"NYC Health - ""Are you pouring on the pounds?""",Print Are you pouring on the pounds? for NYC Health by Bandujo - Studies show that the single food item most closely linked to obesity and other health iss...,"NYC Health - ""Are you pouring on the pounds?"""
1583,"NYC Health - ""You'd Never Eat...""",Web Film You'd Never Eat... for NYC Health by Bandujo - Studies show that the single food item most closely linked to obesity and other health issues is sw...,"NYC Health - ""You'd Never Eat..."""
1584,"NYC Health - ""Drinking Fat Viral Video""",Web Film Drinking Fat Viral Video for NYC Health by Bandujo - Are you pouring on the pounds?,"NYC Health - ""Drinking Fat Viral Video"""
1585,"Elixia - ""Biceps""",Print Biceps for Elixia by Kolle Rebbe Werbeagentur GmbH,"Elixia - ""Biceps"""
1586,"TYC Sports - ""Argentins""",Television Argentins for TYC Sports by Y&R Argentina,"TYC Sports - ""Argentins"""
1587,"BandSports Parental Control - ""Soccer Website""",Case Study Soccer Website for BandSports Parental Control by Ogilvy Brasil Comunicação Ltda.,"BandSports Parental Control - ""Soccer Website"""
1588,"Saucony - ""Find Your Strong""",Television Find Your Strong for Saucony by Mechanica - Find Your Strong,"Saucony - ""Find Your Strong"""
1589,"Nike Cricket - ""United by Blue""",Television United by Blue for Nike Cricket by J. Walter Thompson Bangalore - Just Do It.,"Nike Cricket - ""United by Blue"""
1590,"Decathlon - ""Decathlon.fr""",Television Decathlon.fr for Decathlon by BETC Paris,"Decathlon - ""Decathlon.fr"""
1591,"Vancouver Whitecaps FC - ""3D Projection Mapping Event""",Outdoor/Out of Home 3D Projection Mapping Event for Vancouver Whitecaps FC by Slingshot Communications,"Vancouver Whitecaps FC - ""3D Projection Mapping Event"""
1592,"Reebok - ""Running (board)""",Case Study Running (board) for Reebok by DDB Mexico,"Reebok - ""Running (board)"""
1593,"Reebok - ""Running (film)""",Case Study Running (film) for Reebok by DDB Mexico,"Reebok - ""Running (film)"""
1594,"Reebok - ""Basketball""",Case Study Basketball for Reebok by DDB Mexico,"Reebok - ""Basketball"""
1595,"Reebok - ""Football""",Case Study Football for Reebok by DDB Mexico,"Reebok - ""Football"""
1596,"Chrysler - ""Homecoming""",Television Homecoming for Chrysler by Wieden + Kennedy - Imported from Detroit,"Chrysler - ""Homecoming"""
1597,"Gatorade - ""Basketball""",Television & Cinema Basketball for Gatorade by J. Walter Thompson San Juan,"Gatorade - ""Basketball"""
1598,"Gillette & Head & Shoulders - ""Live With No Limits""",Case Study Live With No Limits for Gillette & Head & Shoulders  by CraveroLanis,"Gillette & Head & Shoulders - ""Live With No Limits"""
1599,"Wales v South Africa match - ""The BOK stops here""",Print The BOK stops here for Wales v South Africa match by Agency Inc,"Wales v South Africa match - ""The BOK stops here"""
1600,"Motorsport Vision - ""Think of all the times he's criticised your driving""",Print Think of all the times he's criticised your driving for Motorsport Vision by Agency Inc,"Motorsport Vision - ""Think of all the times he's criticised your driving"""
1601,"Epsom Racecourse - ""Family day""",Print Family day for Epsom Racecourse by Agency Inc,"Epsom Racecourse - ""Family day"""
1602,"Epsom Racecourse - ""Epsom Live""",Print Epsom Live for Epsom Racecourse by Agency Inc,"Epsom Racecourse - ""Epsom Live"""
1603,"Epsom Racecourse - ""Season launch""",Print Season launch for Epsom Racecourse by Agency Inc,"Epsom Racecourse - ""Season launch"""
1604,"Epsom Derby 2011 - ""Procession ad""",Print Procession ad for Epsom Derby 2011 by Agency Inc,"Epsom Derby 2011 - ""Procession ad"""
1605,"Gullivers Sports Travel - ""Rugby World""",Print Rugby World for Gullivers Sports Travel by Agency Inc,"Gullivers Sports Travel - ""Rugby World"""
1606,"Autumn Series - ""James Hook - Sale""",Magazine James Hook - Sale for Autumn Series by Agency Inc,"Autumn Series - ""James Hook - Sale"""
